Handle,Title,Tags
Cuppowood-W301824,"Refrigerator Wall Cabinet 30""W 18""H 24""D (W301824)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:30, height:18, depth:24"
Cuppowood-W302124,"Refrigerator Wall Cabinet 30""W 21""H 24""D (W302124)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:30, height:21, depth:24"
Cuppowood-W302424,"Refrigerator Wall Cabinet 30""W 24""H 24""D (W302424)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:30, height:24, depth:24"
Cuppowood-W302724,"Refrigerator Wall Cabinet 30""W 27""H 24""D (W302724)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:30, height:27, depth:24"
Cuppowood-W331224,"Refrigerator Wall Cabinet 33""W 12""H 24""D (W331224)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:12, depth:24"
Cuppowood-W331524,"Refrigerator Wall Cabinet 33""W 15""H 24""D (W331524)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:15, depth:24"
Cuppowood-W331824,"Refrigerator Wall Cabinet 33""W 18""H 24""D (W331824)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:18, depth:24"
Cuppowood-W332124,"Refrigerator Wall Cabinet 33""W 21""H 24""D (W332124)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:21, depth:24"
Cuppowood-W332424,"Refrigerator Wall Cabinet 33""W 24""H 24""D (W332424)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:24, depth:24"
Cuppowood-W332724,"Refrigerator Wall Cabinet 33""W 27""H 24""D (W332724)_DoubleDoor","wall_cabinet:refrigerator_wall_cabinet, width:33, height:27, depth:24"
